COMMON,SECTIONLESS
ALL_ACTIVATION_MAGNITUDE,6878
BENIGN_ACTIVATION_MAGNITUDE,5445
MALWARE_ACTIVATION_MAGNITUDE,1433
HISTOGRAM_ALL,104
HISTOGRAM_BENIGN,82
HISTOGRAM_MALWARE,22
