SUPPORT,.rdata,.rsrc,.text
PRESENCE_IN_ALL,40,52,12
PRESENCE_IN_BENIGN,29,41,12
PRESENCE_IN_MALWARE,11,11,0
SUPPORT_IN_ALL,76.9%,100.0%,23.1%
SUPPORT_IN_BENIGN,70.7%,100.0%,29.3%
SUPPORT_IN_MALWARE,100.0%,100.0%,0.0%
